Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    10:15:04
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
10:15:07; 22.60; 58.00;  0
10:15:08; 22.60; 58.00;  0
10:15:10; 22.60; 51.00;  0
10:15:11; 22.60; 51.00;  0
10:15:12; 22.60; 58.00;  0
10:15:13; 22.60; 58.00;  0
10:15:14; 22.60; 58.00;  0
10:15:15; 22.60; 58.00;  0
10:15:16; 22.60; 58.00;  0
10:15:17; 22.60; 58.00;  0
10:15:18; 22.60; 58.00;  0
10:15:19; 22.60; 58.00;  0
10:15:20; 22.60; 58.00;  0
10:15:21; 22.60; 58.00;  0
10:15:22; 22.60; 58.00;  0
10:15:28; 22.60; 58.00;  0
10:15:28; 22.60; 58.00;  0
10:15:28; 22.60; 58.00;  0
10:15:28; 22.60; 58.00;  0
10:15:29; 22.60; 58.00;  0
10:15:29; 22.60; 58.00;  0
10:15:29; 22.60; 58.00;  0
10:15:30; 22.60; 58.00;  0
10:15:31; 22.60; 58.00;  0
10:15:32; 22.60; 58.00;  0
10:15:33; 22.60; 58.00;  0
10:15:34; 22.60; 58.00;  0
10:15:35; 22.60; 58.00;  0
10:15:36; 22.60; 58.00;  0
10:15:37; 22.60; 58.00;  0
10:15:38; 22.60; 58.00;  0
10:15:39; 22.60; 58.00;  0
10:15:40; 22.60; 58.00;  0
10:15:41; 22.60; 58.00;  0
10:15:42; 22.60; 58.00;  0
10:15:43; 22.60; 58.00;  0
10:15:44; 22.60; 58.00;  0
10:15:45; 22.60; 58.00;  0
10:15:46; 22.60; 58.00;  0
10:15:47; 22.60; 58.00;  0
10:15:48; 22.60; 58.00;  0
10:15:49; 22.60; 58.00;  0
10:15:50; 22.60; 58.00;  0
10:15:51; 22.60; 58.00;  0
10:15:52; 22.60; 58.00;  0
10:15:53; 22.60; 58.00;  0
10:15:54; 22.60; 58.00;  0
10:15:55; 22.60; 58.00;  0
10:15:56; 22.60; 58.00;  0
10:15:57; 22.60; 58.00;  0
10:15:58; 22.60; 58.00;  0
10:15:59; 22.60; 58.00;  0
10:16:00; 22.60; 58.00;  0
10:16:01; 22.60; 58.00;  0
10:16:02; 22.60; 58.00;  0
10:16:03; 22.60; 58.00;  0
10:16:04; 22.60; 58.00;  0
10:16:05; 22.60; 58.00;  0
10:16:06; 22.60; 58.00;  0
10:16:07; 22.60; 58.00;  0
10:16:08; 22.60; 58.00;  0
10:16:09; 22.60; 58.00;  0
10:16:10; 22.60; 58.00;  0
10:16:11; 22.60; 58.00;  0
10:16:12; 22.60; 58.00;  0
10:16:13; 22.60; 58.00;  0
10:16:14; 22.60; 58.00;  0
10:16:15; 22.60; 58.00;  0
10:16:16; 22.60; 58.00;  0
10:16:17; 22.60; 58.00;  0
10:16:18; 22.60; 58.00;  0
10:16:19; 22.60; 58.00;  0
10:16:20; 22.60; 58.00;  0
10:16:21; 22.60; 58.00;  0
10:16:22; 22.60; 58.00;  0
10:16:23; 22.60; 58.00;  0
10:16:24; 22.60; 58.00;  0
10:16:25; 22.60; 58.00;  0
