Dia;       Tuesday, 07. February 2023;  Hora de Inicio;    07:55:37
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
07:56:19; 20.30; 22.00;  0
07:57:20; 20.40; 23.00;  0
07:58:21; 20.40; 22.00;  0
07:59:22; 20.50; 22.00;  0
08:00:23; 20.50; 21.00;  0
08:01:23; 20.50; 22.00;  0
08:02:24; 20.60; 22.00;  0
08:03:24; 20.70; 21.00;  0
08:04:25; 20.60; 21.00;  0
08:05:25; 20.60; 21.00;  0
08:06:26; 20.80; 21.00;  0
08:07:26; 20.80; 20.00;  0
08:08:27; 20.90; 20.00;  0
08:09:27; 20.90; 20.00;  0
08:10:28; 20.90; 20.00;  0
08:11:28; 21.00; 20.00;  0
08:12:29; 21.00; 20.00;  0
08:13:29; 21.00; 20.00;  0
08:14:30; 20.90; 20.00;  0
08:15:30; 21.00; 20.00;  0
08:16:30; 21.00; 20.00;  0
08:17:31; 21.00; 19.00;  0
08:18:31; 21.10; 19.00;  0
08:19:32; 21.10; 19.00;  0
08:20:32; 21.20; 19.00;  0
08:21:33; 21.10; 19.00;  0
08:22:33; 21.20; 18.00;  0
08:23:34; 21.20; 18.00;  0
08:24:34; 21.30; 19.00;  0
08:25:35; 21.30; 19.00;  0
08:26:35; 21.20; 18.00;  0
08:27:36; 21.20; 19.00;  0
08:28:36; 21.20; 19.00;  0
08:29:37; 21.30; 19.00;  0
08:30:37; 21.20; 18.00;  0
08:31:37; 21.30; 19.00;  0
08:32:38; 21.40; 19.00;  0
08:33:38; 21.30; 19.00;  0
08:34:39; 21.50; 19.00;  0
08:35:39; 21.50; 19.00;  0
08:36:40; 21.50; 18.00;  0
08:37:40; 21.60; 18.00;  0
08:38:41; 21.50; 18.00;  0
08:39:41; 21.50; 18.00;  0
08:40:42; 21.50; 19.00;  0
08:41:42; 21.60; 19.00;  0
08:42:43; 21.60; 20.00;  0
08:43:43; 21.60; 20.00;  0
08:44:44; 21.60; 19.00;  0
08:45:44; 21.60; 19.00;  0
08:46:44; 21.60; 19.00;  0
08:47:45; 21.60; 19.00;  0
08:48:45; 21.60; 19.00;  0
08:49:46; 21.70; 19.00;  0
08:50:46; 21.70; 19.00;  0
08:51:47; 21.70; 19.00;  0
08:52:47; 21.70; 18.00;  0
08:53:48; 21.80; 18.00;  0
08:54:48; 21.70; 18.00;  0
08:55:49; 21.80; 18.00;  0
08:56:49; 21.80; 18.00;  0
08:57:50; 21.70; 18.00;  0
08:58:50; 21.70; 18.00;  0
08:59:51; 21.80; 18.00;  0
09:00:51; 21.80; 17.00;  0
09:01:51; 21.90; 17.00;  0
09:02:52; 21.90; 17.00;  0
09:03:52; 21.90; 17.00;  0
09:04:53; 21.90; 17.00;  0
09:05:53; 21.80; 18.00;  0
09:06:54; 21.80; 18.00;  0
09:07:54; 21.80; 18.00;  0
09:08:55; 21.90; 18.00;  0
09:09:55; 21.90; 17.00;  0
09:10:56; 21.90; 17.00;  0
09:11:56; 21.90; 17.00;  0
09:12:57; 22.00; 17.00;  0
09:13:57; 22.00; 17.00;  0
09:14:58; 22.10; 17.00;  0
09:15:58; 22.10; 17.00;  0
09:16:58; 22.10; 16.00;  0
09:17:59; 22.10; 16.00;  0
09:18:59; 22.10; 16.00;  0
09:20:00; 22.20; 16.00;  0
09:21:01; 22.10; 17.00;  0
09:22:01; 22.20; 16.00;  0
09:23:02; 22.20; 16.00;  0
09:24:02; 22.30; 16.00;  0
09:25:03; 22.20; 16.00;  0
09:26:03; 22.30; 16.00;  0
