Dia;       Monday, 11. July 2022;  Hora de Inicio;    10:05:43
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
10:05:49; 20.20; 56.00;  0
10:05:51; 20.20; 56.00;  0
10:05:53; 21.20; 53.00;  0
10:05:53; 21.20; 53.00;  0
10:05:54; 21.20; 62.00;  0
10:05:55; 21.20; 62.00;  0
10:05:56; 21.20; 62.00;  0
10:05:57; 21.20; 62.00;  0
10:05:58; 21.20; 62.00;  0
10:05:59; 21.20; 62.00;  0
10:06:00; 21.20; 62.00;  0
10:06:01; 21.20; 62.00;  0
10:06:02; 21.20; 62.00;  0
10:06:03; 21.20; 62.00;  0
10:06:04; 21.20; 62.00;  0
10:06:05; 21.20; 62.00;  0
10:06:06; 21.20; 62.00;  0
10:06:07; 21.20; 62.00;  0
10:06:08; 21.20; 62.00;  0
10:06:09; 21.20; 62.00;  0
10:06:10; 21.20; 62.00;  0
10:06:11; 21.20; 62.00;  0
10:06:12; 21.20; 62.00;  0
10:06:13; 21.20; 62.00;  0
10:06:14; 21.20; 62.00;  0
10:06:15; 21.20; 62.00;  0
10:06:16; 21.20; 62.00;  0
10:06:17; 21.20; 62.00;  0
10:06:18; 21.20; 62.00;  0
10:06:19; 21.20; 62.00;  0
10:06:20; 21.30; 63.00;  0
10:06:20; 21.30; 63.00;  0
10:06:22; 21.30; 63.00;  0
10:06:22; 21.30; 63.00;  0
10:06:23; 21.20; 62.00;  0
10:06:24; 21.20; 62.00;  0
10:06:25; 21.30; 63.00;  0
10:06:26; 21.30; 63.00;  0
10:06:27; 21.20; 62.00;  0
10:06:28; 21.20; 62.00;  0
10:06:29; 21.30; 63.00;  0
10:06:30; 21.30; 63.00;  0
10:06:31; 21.30; 63.00;  0
10:06:33; 21.30; 63.00;  0
10:06:34; 21.30; 63.00;  0
10:06:35; 21.30; 63.00;  0
10:06:36; 21.30; 63.00;  0
10:06:37; 21.30; 63.00;  0
10:06:38; 21.30; 63.00;  0
10:06:39; 21.30; 63.00;  0
10:06:40; 21.30; 63.00;  0
10:06:41; 21.30; 63.00;  0
10:06:42; 21.30; 63.00;  0
10:06:43; 21.30; 63.00;  0
10:06:44; 21.30; 63.00;  0
10:06:45; 21.30; 63.00;  0
10:06:46; 21.30; 63.00;  0
10:06:47; 21.30; 63.00;  0
10:06:48; 21.20; 62.00;  0
10:06:49; 21.20; 62.00;  0
10:06:50; 21.20; 62.00;  0
10:06:51; 21.20; 62.00;  0
10:06:52; 21.20; 62.00;  0
10:06:53; 21.20; 62.00;  0
10:06:54; 21.20; 62.00;  0
10:06:55; 21.20; 62.00;  0
10:06:56; 21.20; 62.00;  0
10:06:57; 21.20; 62.00;  0
10:06:58; 21.20; 62.00;  0
10:06:59; 21.20; 62.00;  0
10:07:00; 21.20; 62.00;  0
10:07:01; 21.20; 62.00;  0
10:07:02; 21.20; 62.00;  0
10:07:03; 21.20; 62.00;  0
10:07:04; 21.20; 62.00;  0
10:07:05; 21.20; 62.00;  0
10:07:06; 21.20; 62.00;  0
10:07:07; 21.20; 62.00;  0
10:07:08; 21.20; 62.00;  0
10:07:09; 21.20; 62.00;  0
10:07:10; 21.20; 62.00;  0
10:07:11; 21.20; 62.00;  0
10:07:12; 21.20; 62.00;  0
10:07:13; 21.20; 62.00;  0
10:07:14; 21.20; 62.00;  0
10:07:15; 21.20; 62.00;  0
10:07:16; 21.20; 62.00;  0
10:07:17; 21.20; 62.00;  0
10:07:18; 21.20; 62.00;  0
10:07:19; 21.20; 62.00;  0
