Dia;       Tuesday, 12. July 2022;  Hora de Inicio;    12:25:47
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
12:25:54; 31.40; 21.00;  1
12:26:25; 31.40; 21.00;  1
12:26:56; 31.50; 21.00;  1
12:27:27; 31.60; 21.00;  1
12:27:58; 31.60; 21.00;  1
12:28:29; 31.60; 21.00;  1
12:29:00; 31.60; 21.00;  1
12:29:31; 31.60; 21.00;  1
12:30:02; 31.60; 21.00;  1
12:30:33; 31.60; 21.00;  1
12:31:04; 31.60; 21.00;  1
12:31:35; 31.60; 21.00;  1
12:32:06; 31.60; 21.00;  1
12:32:37; 31.60; 21.00;  1
12:33:08; 31.60; 21.00;  1
12:33:39; 31.60; 22.00;  1
12:34:10; 31.60; 22.00;  1
12:34:41; 31.60; 22.00;  1
12:35:11; 31.50; 22.00;  1
12:35:42; 31.50; 22.00;  1
12:36:13; 31.40; 22.00;  1
12:36:44; 31.50; 22.00;  1
12:37:14; 31.50; 22.00;  1
12:37:45; 31.50; 22.00;  1
12:38:16; 31.60; 22.00;  1
12:38:47; 31.60; 22.00;  1
12:39:17; 31.60; 22.00;  1
12:39:48; 31.60; 22.00;  1
12:40:19; 31.60; 22.00;  1
12:40:50; 31.60; 23.00;  1
12:41:20; 31.60; 23.00;  1
12:41:51; 31.60; 23.00;  1
12:42:22; 31.60; 23.00;  1
12:42:52; 31.60; 23.00;  1
12:43:23; 31.60; 23.00;  1
12:43:54; 31.60; 23.00;  1
12:44:25; 31.60; 23.00;  1
12:44:56; 31.60; 22.00;  1
12:45:27; 31.60; 22.00;  1
12:45:58; 31.60; 22.00;  1
12:46:29; 31.60; 23.00;  1
12:47:00; 31.60; 22.00;  1
12:47:31; 31.60; 22.00;  1
12:48:02; 31.70; 22.00;  1
12:48:33; 31.70; 22.00;  1
12:49:04; 31.70; 22.00;  1
12:49:35; 31.80; 22.00;  1
12:50:06; 31.80; 22.00;  1
12:50:37; 31.80; 22.00;  1
12:51:08; 31.80; 22.00;  1
12:51:39; 31.80; 22.00;  1
12:52:10; 31.80; 22.00;  1
12:52:41; 31.80; 22.00;  1
12:53:12; 31.80; 22.00;  1
12:53:43; 31.80; 22.00;  1
12:54:13; 31.80; 22.00;  1
12:54:44; 31.80; 22.00;  1
12:55:15; 31.80; 22.00;  1
12:55:46; 31.80; 23.00;  1
12:56:16; 31.90; 23.00;  1
12:56:47; 31.90; 22.00;  1
12:57:18; 31.90; 22.00;  1
12:57:49; 31.90; 23.00;  1
12:58:19; 31.90; 22.00;  1
12:58:50; 31.90; 22.00;  1
