Dia;       Thursday, 04. August 2022;  Hora de Inicio;    02:04:56
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
02:05:05; 26.20; 50.00;  0
02:06:06; 26.10; 50.00;  0
02:07:07; 26.10; 50.00;  0
02:08:08; 26.10; 50.00;  0
02:09:09; 26.10; 50.00;  0
02:10:10; 26.10; 50.00;  0
02:11:11; 26.10; 50.00;  0
02:12:11; 26.10; 50.00;  0
02:13:12; 26.10; 50.00;  0
02:14:13; 26.10; 50.00;  0
02:15:14; 26.10; 50.00;  0
02:16:15; 26.10; 51.00;  0
02:17:16; 26.00; 51.00;  0
02:18:17; 26.10; 51.00;  0
02:19:18; 26.10; 51.00;  0
02:20:18; 26.10; 51.00;  0
02:21:19; 26.10; 51.00;  0
02:22:20; 26.10; 51.00;  0
02:23:21; 26.10; 51.00;  0
02:24:22; 26.10; 51.00;  0
02:25:23; 26.10; 51.00;  0
02:26:23; 26.10; 50.00;  0
02:27:24; 26.10; 51.00;  0
02:28:25; 26.10; 50.00;  0
02:29:26; 26.10; 50.00;  0
02:30:27; 26.10; 50.00;  0
02:31:28; 26.10; 50.00;  0
02:32:29; 26.10; 50.00;  0
02:33:30; 26.10; 50.00;  0
02:34:31; 26.10; 50.00;  0
02:35:31; 26.10; 50.00;  0
02:36:32; 26.10; 50.00;  0
02:37:33; 26.10; 50.00;  0
02:38:34; 26.10; 50.00;  0
02:39:35; 26.10; 50.00;  0
02:40:36; 26.10; 50.00;  0
02:41:36; 26.10; 50.00;  0
02:42:37; 26.10; 50.00;  0
02:43:38; 26.10; 50.00;  0
02:44:39; 26.10; 50.00;  0
02:45:40; 26.10; 50.00;  0
02:46:41; 26.10; 50.00;  0
10:40:00; 23.40; 59.00;  0
