Dia;       Thursday, 14. July 2022;  Hora de Inicio;    11:03:21
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
11:03:31; 29.90; 27.00;  1
11:04:32; 30.80; 25.00;  1
11:05:32; 31.20; 24.00;  1
11:06:33; 31.50; 23.00;  1
11:07:33; 31.60; 22.00;  1
11:08:34; 31.80; 22.00;  1
11:09:34; 31.80; 21.00;  1
11:10:35; 31.90; 21.00;  1
11:11:35; 31.90; 21.00;  1
11:12:36; 32.10; 22.00;  1
11:13:36; 32.10; 21.00;  1
11:14:37; 32.20; 21.00;  1
11:15:37; 32.30; 22.00;  1
11:16:37; 32.30; 22.00;  1
11:17:38; 32.30; 23.00;  1
11:18:38; 32.40; 23.00;  1
11:19:39; 32.40; 22.00;  1
11:20:39; 32.50; 22.00;  1
11:21:40; 32.40; 22.00;  1
11:22:40; 32.50; 21.00;  1
11:23:41; 32.40; 21.00;  1
11:24:41; 32.40; 21.00;  1
11:25:42; 32.40; 21.00;  1
11:26:42; 32.50; 20.00;  1
11:27:43; 32.50; 20.00;  1
11:28:43; 32.50; 20.00;  1
11:29:44; 32.50; 20.00;  1
11:30:44; 32.50; 20.00;  1
11:31:44; 32.60; 19.00;  1
11:32:45; 32.60; 19.00;  1
11:33:45; 32.60; 19.00;  1
11:34:46; 32.60; 18.00;  1
11:35:46; 32.60; 18.00;  1
11:37:47; 32.70; 18.00;  1
11:38:48; 32.70; 18.00;  1
11:39:48; 32.60; 18.00;  1
11:40:49; 32.60; 18.00;  1
11:41:49; 32.60; 18.00;  1
11:42:50; 32.60; 18.00;  1
11:43:50; 32.60; 17.00;  1
11:44:51; 32.60; 17.00;  1
11:45:51; 32.60; 17.00;  1
11:46:51; 32.60; 17.00;  1
11:47:52; 32.70; 17.00;  1
11:48:52; 32.80; 17.00;  1
11:49:53; 32.80; 17.00;  1
11:50:53; 32.70; 17.00;  1
11:51:54; 32.70; 17.00;  1
11:52:54; 32.70; 17.00;  1
11:53:55; 32.70; 17.00;  1
11:54:55; 32.70; 17.00;  1
11:55:56; 32.60; 17.00;  1
11:56:56; 32.60; 17.00;  1
11:57:57; 32.60; 17.00;  1
11:58:57; 32.60; 17.00;  1
